"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Lucky Ball"
"06/17/2021","24","45","10","29","7","1"
"06/14/2021","37","21","17","19","3","12"
"06/10/2021","6","10","24","43","8","15"
"06/07/2021","5","34","18","7","24","18"
"06/03/2021","19","22","48","29","11","6"
"05/31/2021","2","28","19","47","31","9"
"05/27/2021","5","43","8","40","6","17"
"05/24/2021","48","36","7","6","3","3"
"05/20/2021","13","43","38","7","44","11"
"05/17/2021","32","40","44","18","29","16"
"05/13/2021","31","3","25","36","7","8"
"05/10/2021","32","44","31","4","42","7"
"05/06/2021","13","26","32","47","5","8"
"05/03/2021","21","12","18","7","11","10"
"04/29/2021","18","34","10","1","9","13"
"04/26/2021","8","38","37","33","22","10"
"04/22/2021","28","35","29","37","20","15"
"04/19/2021","32","31","33","21","13","15"
"04/15/2021","43","3","18","31","4","4"
"04/12/2021","16","1","12","26","36","4"
"04/08/2021","37","17","39","25","30","10"
"04/05/2021","2","26","16","5","39","10"
"04/01/2021","36","42","5","27","47","9"
"03/29/2021","9","32","42","45","29","4"
"03/25/2021","44","37","3","24","25","5"
"03/22/2021","3","31","24","45","5","1"
"03/18/2021","28","21","45","2","5","15"
"03/15/2021","15","14","37","5","27","7"
"03/11/2021","48","30","19","28","15","5"
"03/08/2021","40","44","3","41","9","6"
"03/04/2021","5","32","2","37","35","2"
"03/01/2021","5","17","47","26","11","3"
"02/25/2021","34","35","16","45","38","1"
"02/22/2021","45","43","12","10","2","1"
"02/18/2021","32","17","10","11","27","15"
"02/15/2021","21","1","45","34","22","11"
"02/11/2021","39","7","15","9","31","1"
"02/08/2021","2","22","26","24","12","11"
"02/04/2021","24","13","3","9","40","16"
"02/01/2021","27","15","30","39","17","2"
"01/28/2021","26","31","2","19","24","1"
"01/25/2021","28","34","1","41","24","2"
"01/21/2021","26","15","47","34","11","15"
"01/18/2021","13","2","19","14","31","7"
"01/14/2021","3","21","20","47","16","10"
"01/11/2021","8","37","39","20","1","8"
"01/07/2021","3","20","28","25","30","18"
"01/04/2021","21","26","2","46","12","7"
"12/31/2020","28","39","43","30","11","14"
"12/28/2020","9","11","15","6","29","14"
"12/24/2020","15","44","2","40","47","12"
"12/21/2020","38","3","40","35","32","3"
"12/17/2020","38","1","28","45","20","8"
"12/14/2020","34","25","7","37","43","9"
"12/10/2020","5","31","10","11","1","15"
"12/07/2020","3","22","18","35","26","14"
"12/03/2020","11","22","17","25","37","4"
"11/30/2020","36","18","21","38","11","9"
"11/26/2020","43","31","11","41","25","9"
"11/23/2020","23","39","37","31","13","11"
"11/19/2020","36","16","35","5","27","4"
"11/16/2020","38","44","8","3","16","15"
"11/12/2020","14","46","17","33","24","2"
"11/09/2020","22","45","24","42","33","5"
"11/05/2020","8","2","17","31","4","2"
"11/02/2020","33","42","7","24","26","11"
"10/29/2020","44","32","11","47","2","10"
"10/26/2020","20","12","9","38","30","6"
"10/22/2020","24","37","39","35","11","8"
"10/19/2020","11","41","34","23","17","7"
"10/15/2020","4","44","14","27","47","11"
"10/12/2020","21","2","11","42","39","4"
"10/08/2020","43","28","31","30","42","13"
"10/05/2020","7","29","17","35","45","17"
"10/01/2020","5","9","25","29","8","1"
"09/28/2020","45","47","14","9","46","8"
"09/24/2020","17","30","46","40","21","4"
"09/21/2020","7","39","28","47","41","3"
"09/17/2020","44","41","34","5","28","5"
"09/14/2020","2","5","46","25","45","10"
"09/10/2020","28","13","33","4","25","15"
"09/07/2020","25","30","36","7","4","9"
"09/03/2020","1","13","26","4","37","13"
"08/31/2020","18","3","9","25","14","11"
"08/27/2020","7","8","21","12","36","4"
"08/24/2020","31","18","22","25","46","18"
"08/20/2020","39","18","40","11","9","9"
"08/17/2020","27","11","9","17","5","2"
"08/13/2020","9","36","34","40","33","14"
"08/10/2020","5","37","16","4","19","1"
"08/06/2020","14","43","45","30","18","9"
"08/03/2020","20","4","10","46","32","15"
"07/30/2020","15","39","42","16","14","10"
"07/27/2020","6","13","31","17","10","9"
"07/23/2020","5","6","23","33","45","3"
"07/20/2020","37","11","40","15","46","6"
"07/16/2020","5","20","7","48","43","1"
"07/13/2020","13","34","36","9","46","10"
"07/09/2020","33","39","10","28","24","12"
"07/06/2020","48","47","2","10","40","15"
"07/02/2020","36","47","10","2","15","18"
"06/29/2020","19","6","16","22","12","2"
"06/25/2020","46","18","8","1","27","16"
"06/22/2020","34","44","43","13","33","1"
"06/18/2020","16","34","27","6","1","2"
"06/15/2020","48","32","25","47","28","14"
"06/11/2020","42","25","24","9","29","6"
"06/08/2020","40","31","34","26","29","1"
"06/04/2020","26","9","29","18","24","8"
"06/01/2020","15","45","5","40","30","16"
"05/28/2020","1","36","44","13","41","1"
"05/25/2020","28","32","41","31","4","2"
"05/21/2020","33","8","11","30","24","12"
"05/18/2020","47","32","10","43","27","10"
"05/14/2020","20","41","29","26","34","15"
"05/11/2020","28","36","24","45","1","7"
"05/07/2020","22","23","3","8","45","15"
"05/04/2020","20","22","48","37","15","11"
"04/30/2020","35","11","4","3","23","17"
"04/27/2020","5","9","28","1","35","9"
"04/23/2020","31","5","45","38","41","1"
"04/20/2020","1","3","45","6","34","12"
"04/16/2020","28","20","43","8","6","15"
"04/13/2020","37","43","1","39","45","17"
"04/09/2020","48","27","16","23","6","10"
"04/06/2020","2","25","26","37","30","8"
"04/02/2020","23","4","2","31","48","5"
"03/30/2020","36","2","40","22","29","18"
"03/26/2020","8","10","7","30","41","13"
"03/23/2020","48","46","1","31","30","8"
"03/19/2020","42","38","24","19","13","14"
"03/16/2020","3","7","26","42","24","18"
"03/12/2020","1","23","48","13","47","11"
"03/09/2020","16","3","13","48","45","13"
"03/05/2020","6","8","47","36","9","7"
"03/02/2020","13","32","24","6","40","13"
"02/27/2020","19","32","48","20","36","4"
"02/24/2020","44","23","33","48","27","11"
"02/20/2020","27","41","36","47","24","2"
"02/17/2020","27","29","45","34","4","14"
"02/13/2020","31","5","40","46","14","2"
"02/10/2020","3","21","7","26","25","4"
"02/06/2020","34","18","30","33","31","16"
"02/03/2020","34","48","9","36","2","13"
"01/30/2020","39","18","6","4","8","15"
"01/27/2020","7","29","22","17","1","15"
"01/23/2020","28","11","42","33","25","18"
"01/20/2020","4","7","27","18","8","5"
"01/16/2020","15","13","30","33","10","8"
"01/13/2020","30","32","39","16","7","17"
"01/09/2020","1","37","14","28","21","12"
"01/06/2020","8","15","48","33","5","2"
"01/02/2020","33","18","1","3","22","7"
"12/30/2019","47","15","4","40","34","16"
"12/26/2019","30","35","25","16","29","17"
"12/23/2019","1","6","46","16","21","13"
"12/19/2019","44","28","27","6","40","9"
"12/16/2019","45","21","11","20","38","17"
"12/12/2019","38","17","21","28","16","8"
"12/09/2019","16","45","1","27","39","10"
"12/05/2019","32","11","19","16","3","3"
"12/02/2019","46","43","10","31","44","13"
"11/28/2019","24","9","22","3","41","3"
"11/25/2019","31","3","1","40","2","5"
"11/21/2019","17","37","20","23","15","7"
"11/18/2019","15","28","37","22","35","17"
"11/14/2019","30","22","9","11","21","14"
"11/11/2019","22","5","3","36","23","12"
"11/07/2019","10","1","18","15","40","15"
"11/04/2019","44","42","28","48","34","15"
"10/31/2019","31","41","33","46","2","18"
"10/28/2019","34","15","23","18","11","10"
"10/24/2019","5","24","48","13","38","6"
"10/21/2019","15","9","35","14","40","10"
"10/17/2019","33","9","27","8","25","17"
"10/14/2019","41","19","35","17","12","9"
"10/10/2019","31","34","30","45","27","16"
"10/07/2019","38","18","31","43","13","16"
"10/03/2019","1","43","13","42","44","18"
"09/30/2019","3","47","45","14","48","3"
"09/26/2019","11","4","47","33","43","17"
"09/23/2019","4","43","23","48","25","9"
"09/19/2019","21","39","28","27","13","5"
"09/16/2019","22","37","31","12","11","7"
"09/12/2019","16","29","43","2","46","3"
"09/09/2019","33","22","9","17","8","18"
"09/05/2019","38","20","5","47","32","15"
"09/02/2019","6","46","7","25","22","14"
"08/29/2019","28","24","43","11","33","10"
